LocId,Latitude,Longitude,Category
g-175,28.659,25.1547,P
h842,13.1529,26.9448,S
a-258,27.3005,12.2725,C
b-623,15.0511,25.172,R
c-771,5.5979,4.6238,H
d124,23.5129,7.8768,P
e63,7.8243,11.2589,S
f-886,26.3515,13.0427,C
g-483,27.6605,9.0684,R
h724,26.0613,0.6144,H
a463,24.0955,4.6194,P
b-849,6.9282,6.2485,S
c635,8.6571,13.7689,C
d-261,23.502,18.661,R
e-484,12.2885,1.3433,H
f-528,23.25,16.2951,P
g-782,23.7825,10.6508,S
h376,13.7661,22.9666,C
a-649,1.4068,3.6808,R
b662,25.2205,10.93,H
c90,21.7779,10.6089,P
d965,17.4693,15.1899,S
e901,19.9041,28.2542,C
f-192,27.0723,16.1325,R
g-739,15.3768,23.7503,H
h-832,25.0519,16.6443,P
a605,25.3597,10.7844,S
b146,27.2199,7.1128,C
c137,9.6089,16.5265,R
d-162,20.9527,6.3377,H
e366,4.8675,6.0954,P
f-862,19.1856,23.5406,S
g875,20.8682,8.0497,C
h-995,29.1524,3.2063,R
a865,20.2278,21.1511,H
b-781,7.7862,6.0079,P
c875,14.459,18.2981,S
d-875,15.2574,0.1798,C
e108,14.3113,20.6705,R
f429,22.2606,17.8438,H
g541,23.7123,8.258,P
h-673,13.8949,14.6222,S
a-875,12.2567,16.7704,C
b212,9.4712,19.435,R
c287,8.1613,5.5902,H
d-177,6.0329,21.2329,P
e794,3.0446,5.1424,S
f200,10.5274,17.6655,C
g-343,6.7561,3.2378,R
h-39,24.1701,5.041,H
a-474,28.0611,28.0814,P
b-942,8.6563,28.2313,S
c-210,10.5289,29.8774,C
d334,0.1989,8.3465,R
e-266,12.3504,14.2089,H
f382,6.3649,10.5933,P
g146,4.9697,10.3205,S
h-437,4.5217,3.8154,C
a-213,20.951,24.0076,R
b603,26.6714,23.1663,H
c842,29.5868,18.9977,P
d503,26.9196,29.1634,S
e-997,16.6143,25.6628,C
f-214,14.844,23.6907,R
g858,13.2674,22.2203,H
